km,Engine Displacement,Max Power,No of Cylinder,Mileage,price (lakh),Insurance_Encoded,modelyear_Encoded,owner_Encoded,cylinder_Encoded,oem_Encoded,bt_Encoded,model_Encoded,variantName_Encoded,engine_Encoded,city_Encoded,color_Encoded,seats_Encoded,streeingtype_Encoded,drivetype_Encoded,ft_Encoded,transmission_Encoded,Length,Width,Wheel Base,Cargo Volumn
61000,1199,88.7,4.0,18.7,5.3,2.0,21.0,3.0,3,8,2,66,171,476,1,47,3,4,6,4,1,3955,1694,2530,354
50000,2987,210.0,6.0,13.0,17.0,2.0,14.0,2.0,5,21,8,211,668,433,1,102,3,4,8,1,0,5206,1871,3165,560
23000,1995,190.0,4.0,18.12,43.75,2.0,23.0,4.0,3,1,8,17,749,236,1,9,3,4,8,1,0,4907,2102,2968,520
17000,2993,258.0,6.0,16.46,82.0,2.0,23.0,4.0,5,1,8,19,1622,236,1,119,3,4,8,1,0,5219,2142,3210,500
102958,998,67.04,3.0,23.1,4.2,2.0,22.0,4.0,2,20,2,160,2048,293,1,50,3,4,6,4,0,3715,1635,2425,235
62900,1364,87.2,4.0,21.43,7.75,2.0,18.0,4.0,3,30,8,281,1021,363,1,102,3,4,6,1,1,4620,1776,2700,475
65076,998,67.04,3.0,20.51,3.95,2.0,20.0,3.0,2,20,2,184,1823,295,1,102,3,4,6,4,1,3599,1495,2400,180
75876,1197,83.1,4.0,21.4,5.33,2.0,21.0,4.0,3,20,2,157,85,455,1,9,3,4,6,4,1,3995,1745,2520,339
98911,1197,81.83,4.0,18.6,5.47,1.0,20.0,4.0,3,9,2,90,851,320,1,98,3,4,6,4,1,3985,1734,2570,295
45000,998,67.04,3.0,23.1,3.95,2.0,20.0,4.0,2,20,2,160,1806,293,1,9,3,4,6,4,1,3715,1635,2425,235
76089,1582,126.2,4.0,19.08,9.08,1.0,22.0,4.0,3,9,8,86,363,427,1,119,3,4,6,1,0,4375,1700,2570,465
54505,1197,81.86,4.0,18.9,5.21,1.0,22.0,3.0,3,9,2,77,104,320,1,102,3,4,6,4,1,3765,1660,2425,256
24000,1968,143.0,4.0,20.38,22.9,1.0,24.0,4.0,3,0,8,1,695,381,1,119,3,4,6,1,0,4458,1796,2637,425
96573,1197,88.5,4.0,22.41,5.07,3.0,21.0,4.0,3,20,8,180,1806,278,1,98,3,1,6,4,1,3995,1735,2450,378
30000,1493,113.43,4.0,17.0,16.25,2.0,24.0,4.0,3,13,7,107,1198,73,1,119,3,1,6,1,0,4315,1800,2610,433
63720,1197,82.0,4.0,18.9,5.28,2.0,21.0,3.0,3,9,2,77,861,320,1,77,3,4,6,4,1,3765,1660,2425,256
14411,796,47.33,3.0,22.05,4.35,2.0,26.0,4.0,2,20,2,155,1827,251,1,102,3,4,6,4,1,3445,1515,2360,267
11000,999,113.98,3.0,18.41,14.9,2.0,27.0,4.0,2,31,7,302,41,23,1,98,3,1,6,4,0,4221,1760,2651,385
21000,1498,147.51,4.0,18.86,17.9,2.0,27.0,4.0,3,28,7,246,338,81,1,102,3,1,6,4,0,4225,1760,2651,385
34392,1199,88.7,4.0,17.5,6.25,2.0,22.0,4.0,3,8,7,69,2112,476,1,102,3,1,6,4,1,3999,1734,2555,363
20000,1197,81.86,4.0,20.7,6.9,1.0,27.0,4.0,3,9,2,78,1640,35,1,78,3,1,6,4,1,3805,1680,2450,267
10000,998,118.36,3.0,18.2,13.5,1.0,27.0,4.0,2,13,7,108,1169,369,1,8,3,1,6,4,1,3995,1790,2500,392
20000,1498,108.49,4.0,14.82,15.5,1.0,27.0,4.0,3,16,7,119,1596,452,1,78,3,1,6,4,0,4323,1809,2585,418
47000,1197,81.8,4.0,19.56,7.9,2.0,24.0,4.0,3,30,2,287,1748,344,1,50,3,1,6,4,0,3995,1745,2520,339
60333,998,67.05,3.0,23.95,2.7,2.0,19.0,3.0,2,20,2,156,1806,289,1,98,3,4,6,4,1,3545,1515,2360,177
81058,1186,73.97,3.0,24.0,3.65,2.0,19.0,4.0,2,9,2,77,80,422,1,107,3,4,6,1,1,3765,1660,2425,256
51800,1799,130.0,4.0,13.5,4.25,2.0,15.0,3.0,3,8,8,65,434,273,1,14,3,4,6,4,1,4545,1750,2700,405
32797,1197,82.0,4.0,18.9,5.28,2.0,21.0,3.0,3,9,2,77,861,320,1,77,3,4,6,4,1,3765,1660,2425,256
69731,1197,82.0,4.0,18.9,5.11,2.0,21.0,4.0,3,9,2,77,861,320,1,102,3,4,6,4,1,3765,1660,2425,256
54000,1497,117.3,4.0,17.8,6.25,2.0,21.0,3.0,3,8,8,63,2099,469,1,8,3,4,6,4,1,4440,1695,2600,510
110267,1198,67.04,3.0,19.49,3.27,2.0,21.0,3.0,2,24,2,227,1950,269,1,9,3,4,6,4,1,3801,1665,2450,251
31767,1198,82.0,3.0,18.15,5.05,1.0,23.0,4.0,2,17,7,133,2128,487,1,77,4,4,6,4,1,3675,1715,2385,243
45677,1199,88.7,4.0,17.5,6.4,2.0,23.0,3.0,3,8,7,69,2116,476,1,57,3,1,6,4,1,3999,1734,2555,363
66656,998,65.71,3.0,25.24,4.49,2.0,22.0,4.0,2,20,2,160,2037,296,1,102,3,1,6,4,1,3695,1655,2435,313
27000,1498,98.63,4.0,24.7,7.25,2.0,24.0,4.0,3,8,8,59,1501,471,1,50,3,1,6,1,1,3995,1695,2470,420
37004,999,67.0,3.0,21.74,4.95,2.0,26.0,4.0,2,27,2,238,26,344,1,98,3,1,6,4,1,3731,1579,2422,279
85274,1197,78.9,4.0,20.36,2.71,2.0,16.0,3.0,3,9,2,89,1333,319,1,102,3,4,6,4,1,3585,1595,2380,267
60000,1582,126.2,4.0,19.67,9.4,1.0,22.0,3.0,3,9,7,73,374,421,1,78,3,4,6,1,1,4270,1780,2590,400
